Назва	Адреса
Укриття,	вулиця	Богомольця О., акад.	3
Укриття,	вулиця	Богомольця О., акад.	4
Укриття,	вулиця	Богомольця О., акад.	5
Укриття,	вулиця	Богомольця О., акад.	7
Укриття,	вулиця	Богомольця О., акад.	8
Укриття,	вулиця	Богуна І.	12
Укриття,	вулиця	Богуна І.	15
Укриття,	вулиця	Боднарська	16
Укриття,	вулиця	Бодянського О.	1
Укриття,	вулиця	Бодянського О.	20
Укриття,	вулиця	Бодянського О.	22
Укриття,	вулиця	Бодянського О.	24
Укриття,	вулиця	Бой-Желенського Т.	10
Укриття,	вулиця	Бойчука М.	10
Укриття,	вулиця	Бойчука М.	45
Укриття,	вулиця	Бойчука М.	5
Укриття,	вулиця	Бойчука М.	8
Укриття,	вулиця	Болгарська	1
Укриття,	вулиця	Братів Міхновських	17
Укриття,	вулиця	Братів Міхновських	18
Укриття,	вулиця	Братів Міхновських	19
Укриття,	вулиця	Братів Міхновських	2
Укриття,	вулиця	Братів Міхновських	21
Укриття,	вулиця	Братів Міхновських	22
Укриття,	вулиця	Братів Міхновських	22а
Укриття,	вулиця	Братів Міхновських	23
Укриття,	вулиця	Братів Міхновських	24
Укриття,	вулиця	Братів Міхновських	25
Укриття,	вулиця	Братів Міхновських	26
Укриття,	вулиця	Братів Міхновських	27а
Укриття,	вулиця	Братів Міхновських	28
Укриття,	вулиця	Братів Міхновських	3
Укриття,	вулиця	Братів Міхновських	30
Укриття,	вулиця	Братів Міхновських	31
Укриття,	вулиця	Братів Міхновських	31а
Укриття,	вулиця	Братів Міхновських	32
Укриття,	вулиця	Братів Міхновських	32б
Укриття,	вулиця	Братів Міхновських	33
Укриття,	вулиця	Братів Міхновських	33а
Укриття,	вулиця	Братів Міхновських	33б
Укриття,	вулиця	Братів Міхновських	34
Укриття,	вулиця	Братів Міхновських	35
Укриття,	вулиця	Братів Міхновських	36
Укриття,	вулиця	Братів Міхновських	37
Укриття,	вулиця	Братів Міхновських	38
Укриття,	вулиця	Братів Міхновських	39
Укриття,	вулиця	Братів Міхновських	40а
Укриття,	вулиця	Братів Міхновських	41
Укриття,				
Укриття,	вулиця	Братів Рогатинців	9
Укриття,	вулиця	Братів Тимошенків	2а
Укриття,	вулиця	Братів Тимошенків	2б
Укриття,	вулиця	Братуня Р.	3
Укриття,	вулиця	Брюховицька	33
Укриття,	вулиця	Буйка П., проф.	25
Укриття,	вулиця	Букова	8
Укриття,	вулиця	Вагилевича І.	1
Укриття,	вулиця	Вагилевича І.	2
Укриття,	вулиця	Вагилевича І.	3
Укриття,	вулиця	Вагилевича І.	4
Укриття,	вулиця	Вагилевича І.	5
Укриття,	вулиця	Вагилевича І.	6
Укриття,	вулиця	Вагилевича І.	7
Укриття,	вулиця	Вагилевича І.	8
Укриття,	вулиця	Вагилевича І.	9
Укриття,	вулиця	Вагонна	20
Укриття,	вулиця	Вагонна	7
Укриття,	вулиця	Валова	13
Укриття,	вулиця	Валова	14
Укриття,	вулиця	Валова	16
Укриття,	вулиця	Валова	19
Укриття,	вулиця	Валова	2
Укриття,	вулиця	Валова	23
Укриття,	вулиця	Валова	25
Укриття,	вулиця	Валова	27
Укриття,	вулиця	Валова	29
Укриття,	вулиця	Валова	3
Укриття,	вулиця	Валова	3
Укриття,	вулиця	Валова	3
Укриття,	вулиця	Валова	4
Укриття,	вулиця	Валова	5
Укриття,	вулиця	Варшавська	136
Укриття,	вулиця	Варшавська	35а
Укриття,	вулиця	Варшавська	56
Укриття,	вулиця	Варшавська	64
Укриття,	вулиця	Варшавська	68
Укриття,	вулиця	Васильківського С.	10
Укриття,	вулиця	Васильківського С.	9
Укриття,	вулиця	Васильченка С.	14
Укриття,	вулиця	Вахнянина А.	27
Укриття,	вулиця	Вашингтона Дж.	11
Укриття,	вулиця	Вашингтона Дж.	13
Укриття,	вулиця	Вашингтона Дж.	13
Укриття,	вулиця	Вашингтона Дж.	15
Укриття,	вулиця	Вашингтона Дж.	17
Укриття,	вулиця	Вашингтона Дж.	21
Укриття,	вулиця	Вашингтона Дж.	4а
Укриття,	вулиця	Вашингтона Дж.	4б
Укриття,	вулиця	Вашингтона Дж.	4в
Укриття,	вулиця	Вашингтона Дж.	4д
Укриття,	вулиця	Вашингтона Дж.	5
Укриття,	вулиця	Вашингтона Дж.	5
Укриття,	вулиця	Вашингтона Дж.	6а
Укриття,	вулиця	Вашингтона Дж.	7а
Укриття,	вулиця	Веделя А.	1
Укриття,	вулиця	Веделя А.	10
Укриття,	вулиця	Веделя А.	2
Укриття,	вулиця	Веделя А.	3
Укриття,	вулиця	Веделя А.	4
Укриття,	Населений пункт	Тип вулиці	Назва вулиці	Будинок
Укриття,	вулиця	Азовська	5
Укриття,	вулиця	Айвазовського І.	11
Укриття,	вулиця	Айвазовського І.	22
Укриття,	вулиця	Алмазна	19а
Укриття,	вулиця	Алмазна	21б
Укриття,	вулиця	Ангарна	18
Укриття,	вулиця	Антоненка-Давидовича Б.	1
Укриття,	вулиця	Антоненка-Давидовича Б.	3
Укриття,	вулиця	Антоненка-Давидовича Б.	7
Укриття,	вулиця	Антоненка-Давидовича Б.	8а
Укриття,	вулиця	Антоненка-Давидовича Б.	9
Укриття,	вулиця	Антонича Б.-І.	10
Укриття,	вулиця	Антонича Б.-І.	12
Укриття,	вулиця	Антонича Б.-І.	14
Укриття,	вулиця	Антонича Б.-І.	16
Укриття,	вулиця	Антонича Б.-І.	2
Укриття,	вулиця	Антонича Б.-І.	20
Укриття,	вулиця	Антонича Б.-І.	20а
Укриття,	вулиця	Антонича Б.-І.	22
Укриття,	вулиця	Антонича Б.-І.	24а
Укриття,	вулиця	Антонича Б.-І.	28
Укриття,	вулиця	Антонича Б.-І.	30
Укриття,	вулиця	Антонича Б.-І.	32
Укриття,	вулиця	Антонича Б.-І.	4
Укриття,	вулиця	Антонича Б.-І.	7
Укриття,	вулиця	Антоновича В.	10
Укриття,	вулиця	Антоновича В.	11
Укриття,	вулиця	Антоновича В.	115а
Укриття,	вулиця	Антоновича В.	115в
Укриття,	вулиця	Венеціанова О.	12
Укриття,	вулиця	Венеціанова О.	13
Укриття,	вулиця	Венеціанова О.	15
Укриття,	вулиця	Венеціанова О.	9
Укриття,	вулиця	Вернадського В.	10
Укриття,	вулиця	Вернадського В.	12
Укриття,	вулиця	Вернадського В.	14
Укриття,	вулиця	Вернадського В.	16
Укриття,	вулиця	Вернадського В.	18
Укриття,	вулиця	Вернадського В.	2
Укриття,	вулиця	Вернадського В.	20
Укриття,	вулиця	Вернадського В.	24
Укриття,	вулиця	Вернадського В.	26
Укриття,	вулиця	Вернадського В.	32
Укриття,	вулиця	Вернадського В.	4
Укриття,	вулиця	Вернадського В.	42
Укриття,	вулиця	Вернадського В.	8
