Назва, Адреса
Залізничний відділ поліції, вул. Чернівецька 2
Личаківський відділ поліції, вул. Романчука 18
Сихівський відділ поліції, пр. Червоної Калини 66
Франківський відділ поліції, вул. Генерала Чупринки 65
Галицький відділ поліції, вул. Мартовича 2
Шевченківський відділ поліції, вул. А. Кучера 5
